session_id,user_id,session_start,session_end,device_type
1,1,2024-03-03 16:33:00,2024-03-03 17:04:00,mobile
2,1,2024-02-26 14:09:00,2024-02-26 14:33:00,mobile
3,1,2024-03-11 09:36:00,2024-03-11 10:10:00,mobile
4,1,2024-02-28 14:43:00,2024-02-28 15:11:00,mobile
5,1,2024-03-02 20:07:00,2024-03-02 20:40:00,mobile
6,1,2024-03-19 16:38:00,2024-03-19 17:10:00,mobile
7,2,2024-02-05 10:30:00,2024-02-05 10:52:00,mobile
8,2,2024-02-14 14:55:00,2024-02-14 15:22:00,mobile
9,3,2024-04-04 09:43:00,2024-04-04 10:03:00,mobile
10,3,2024-04-03 07:00:00,2024-04-03 07:27:00,desktop
11,3,2024-03-21 15:54:00,2024-03-21 16:08:00,mobile
12,3,2024-03-13 15:21:00,2024-03-13 15:38:00,mobile
13,3,2024-03-29 09:11:00,2024-03-29 09:23:00,mobile
14,3,2024-03-21 21:14:00,2024-03-21 21:41:00,desktop
15,4,2024-03-12 12:18:00,2024-03-12 12:50:00,mobile
16,4,2024-03-03 22:17:00,2024-03-03 22:37:00,mobile
17,4,2024-03-04 17:24:00,2024-03-04 17:58:00,desktop
18,4,2024-03-13 07:48:00,2024-03-13 07:57:00,mobile
19,4,2024-03-13 15:59:00,2024-03-13 16:29:00,desktop
20,4,2024-03-22 10:59:00,2024-03-22 11:10:00,desktop
21,5,2024-01-23 18:02:00,2024-01-23 18:19:00,mobile
22,5,2024-02-05 12:31:00,2024-02-05 13:04:00,mobile
23,5,2024-02-12 14:56:00,2024-02-12 15:06:00,mobile
24,5,2024-01-23 16:02:00,2024-01-23 16:33:00,mobile
25,6,2024-04-22 20:20:00,2024-04-22 20:50:00,mobile
26,6,2024-04-22 12:03:00,2024-04-22 12:20:00,mobile
27,6,2024-04-01 08:48:00,2024-04-01 09:12:00,mobile
28,6,2024-04-08 12:35:00,2024-04-08 12:40:00,mobile
29,7,2024-04-22 19:22:00,2024-04-22 19:40:00,mobile
30,7,2024-04-22 16:46:00,2024-04-22 17:17:00,mobile
31,9,2024-03-25 11:29:00,2024-03-25 11:54:00,mobile
32,9,2024-03-31 14:18:00,2024-03-31 14:42:00,mobile
33,9,2024-04-03 16:43:00,2024-04-03 17:08:00,mobile
34,9,2024-04-03 20:32:00,2024-04-03 21:01:00,mobile
35,9,2024-04-05 21:00:00,2024-04-05 21:16:00,mobile
36,9,2024-03-16 22:08:00,2024-03-16 22:27:00,mobile
37,9,2024-03-27 20:56:00,2024-03-27 21:25:00,mobile
38,9,2024-04-10 20:11:00,2024-04-10 20:16:00,mobile
39,9,2024-03-24 20:50:00,2024-03-24 21:05:00,mobile
40,10,2024-04-09 22:50:00,2024-04-09 23:16:00,mobile
41,10,2024-04-13 09:50:00,2024-04-13 10:05:00,mobile
42,10,2024-04-17 09:01:00,2024-04-17 09:13:00,desktop
43,10,2024-04-24 17:16:00,2024-04-24 17:26:00,mobile
44,10,2024-04-02 18:01:00,2024-04-02 18:11:00,desktop
45,10,2024-04-15 10:03:00,2024-04-15 10:29:00,mobile
46,10,2024-04-07 10:57:00,2024-04-07 11:14:00,mobile
47,11,2024-02-19 18:00:00,2024-02-19 18:14:00,mobile
48,11,2024-01-31 07:11:00,2024-01-31 07:23:00,desktop
49,11,2024-02-10 10:37:00,2024-02-10 10:53:00,mobile
50,11,2024-02-07 22:55:00,2024-02-07 23:11:00,mobile
51,11,2024-02-15 20:44:00,2024-02-15 21:13:00,desktop
52,11,2024-01-26 16:23:00,2024-01-26 16:57:00,mobile
53,12,2024-01-05 16:26:00,2024-01-05 16:46:00,desktop
54,12,2024-01-05 18:40:00,2024-01-05 19:05:00,mobile
55,12,2024-01-17 08:22:00,2024-01-17 08:44:00,desktop
56,12,2024-01-25 10:22:00,2024-01-25 10:42:00,mobile
57,13,2024-02-16 11:24:00,2024-02-16 11:48:00,desktop
58,13,2024-02-12 11:32:00,2024-02-12 11:56:00,mobile
59,14,2024-03-17 16:04:00,2024-03-17 16:14:00,desktop
60,14,2024-03-08 18:46:00,2024-03-08 19:13:00,mobile
61,14,2024-03-10 11:27:00,2024-03-10 11:34:00,mobile
62,14,2024-03-15 22:02:00,2024-03-15 22:14:00,mobile
63,15,2024-01-24 17:04:00,2024-01-24 17:34:00,mobile
64,16,2024-04-05 17:47:00,2024-04-05 17:53:00,desktop
65,16,2024-04-24 09:29:00,2024-04-24 09:44:00,mobile
66,16,2024-04-08 13:25:00,2024-04-08 13:42:00,mobile
67,17,2024-02-21 21:51:00,2024-02-21 22:20:00,mobile
68,17,2024-02-21 12:39:00,2024-02-21 12:48:00,mobile
69,17,2024-01-30 15:41:00,2024-01-30 16:07:00,desktop
70,17,2024-02-13 07:21:00,2024-02-13 07:31:00,desktop
71,17,2024-02-14 14:46:00,2024-02-14 15:07:00,mobile
72,17,2024-02-24 19:16:00,2024-02-24 19:26:00,mobile
73,17,2024-02-12 19:05:00,2024-02-12 19:12:00,mobile
74,18,2024-02-09 18:05:00,2024-02-09 18:14:00,desktop
75,18,2024-02-23 13:24:00,2024-02-23 13:30:00,mobile
76,18,2024-02-11 16:19:00,2024-02-11 16:29:00,mobile
77,18,2024-02-24 08:03:00,2024-02-24 08:24:00,desktop
78,18,2024-02-20 19:06:00,2024-02-20 19:22:00,mobile
79,19,2024-01-05 09:31:00,2024-01-05 10:01:00,desktop
80,19,2024-01-09 14:16:00,2024-01-09 14:27:00,mobile
81,19,2024-01-02 09:31:00,2024-01-02 09:39:00,mobile
82,19,2024-01-27 22:13:00,2024-01-27 22:22:00,mobile
83,20,2024-03-31 22:03:00,2024-03-31 22:20:00,mobile
84,20,2024-03-16 08:30:00,2024-03-16 08:37:00,mobile
85,21,2024-03-09 12:17:00,2024-03-09 12:39:00,mobile
86,21,2024-03-28 13:59:00,2024-03-28 14:05:00,desktop
87,21,2024-03-12 13:04:00,2024-03-12 13:38:00,mobile
88,21,2024-03-25 19:45:00,2024-03-25 20:01:00,mobile
89,21,2024-03-22 12:31:00,2024-03-22 12:45:00,desktop
90,21,2024-03-07 16:31:00,2024-03-07 16:44:00,mobile
91,21,2024-03-19 12:47:00,2024-03-19 13:15:00,mobile
92,21,2024-03-02 16:10:00,2024-03-02 16:25:00,desktop
93,21,2024-03-03 21:03:00,2024-03-03 21:24:00,desktop
94,22,2024-02-16 16:02:00,2024-02-16 16:15:00,mobile
95,22,2024-02-12 20:32:00,2024-02-12 20:54:00,mobile
96,22,2024-01-29 15:22:00,2024-01-29 15:36:00,mobile
97,22,2024-02-04 11:46:00,2024-02-04 12:10:00,mobile
98,22,2024-02-19 15:27:00,2024-02-19 15:33:00,mobile
99,22,2024-02-05 21:24:00,2024-02-05 21:38:00,desktop
100,23,2024-02-10 15:13:00,2024-02-10 15:20:00,mobile
101,23,2024-02-03 16:34:00,2024-02-03 16:49:00,mobile
102,24,2024-04-06 17:10:00,2024-04-06 17:30:00,mobile
103,24,2024-04-02 09:52:00,2024-04-02 10:23:00,mobile
104,24,2024-03-21 15:43:00,2024-03-21 15:58:00,mobile
105,24,2024-03-31 16:11:00,2024-03-31 16:43:00,mobile
106,24,2024-03-22 12:01:00,2024-03-22 12:31:00,mobile
107,24,2024-04-11 21:07:00,2024-04-11 21:18:00,mobile
108,25,2024-03-10 20:42:00,2024-03-10 21:03:00,mobile
109,25,2024-03-14 14:35:00,2024-03-14 15:00:00,mobile
110,26,2024-02-12 19:46:00,2024-02-12 20:02:00,mobile
111,27,2024-04-12 20:51:00,2024-04-12 21:14:00,mobile
112,27,2024-04-18 22:36:00,2024-04-18 23:07:00,desktop
113,27,2024-04-26 10:24:00,2024-04-26 10:34:00,mobile
114,27,2024-03-30 12:31:00,2024-03-30 12:51:00,mobile
115,27,2024-04-19 10:29:00,2024-04-19 10:46:00,mobile
116,27,2024-03-30 19:42:00,2024-03-30 20:16:00,desktop
117,28,2024-03-07 09:37:00,2024-03-07 09:47:00,desktop
118,28,2024-03-03 15:19:00,2024-03-03 15:32:00,mobile
119,28,2024-03-06 08:04:00,2024-03-06 08:28:00,mobile
120,29,2024-04-11 08:12:00,2024-04-11 08:26:00,mobile
121,29,2024-04-30 13:03:00,2024-04-30 13:26:00,mobile
122,30,2024-02-29 18:23:00,2024-02-29 18:44:00,mobile
123,30,2024-03-14 20:38:00,2024-03-14 21:03:00,mobile
124,30,2024-03-22 07:10:00,2024-03-22 07:37:00,mobile
125,30,2024-03-05 16:46:00,2024-03-05 17:08:00,mobile
126,30,2024-03-15 07:10:00,2024-03-15 07:42:00,mobile
127,30,2024-03-13 18:52:00,2024-03-13 19:06:00,desktop
128,30,2024-03-08 14:03:00,2024-03-08 14:19:00,mobile
129,31,2024-02-13 16:26:00,2024-02-13 16:47:00,desktop
130,31,2024-02-27 22:01:00,2024-02-27 22:33:00,mobile
131,31,2024-03-01 12:27:00,2024-03-01 12:56:00,mobile
132,32,2024-03-21 22:44:00,2024-03-21 23:10:00,mobile
