user_id,event_type,event_date,plan_type
3,trial_start,2024-03-15,trial
3,cancel,2024-03-18,trial
4,trial_start,2024-03-01,trial
4,upgrade_paid,2024-03-20,paid_basic
8,trial_start,2024-03-19,trial
8,upgrade_paid,2024-03-23,paid_basic
9,trial_start,2024-03-15,trial
9,upgrade_paid,2024-03-21,paid_basic
10,trial_start,2024-04-01,trial
10,cancel,2024-04-11,trial
11,trial_start,2024-01-24,trial
11,cancel,2024-01-28,trial
12,trial_start,2024-01-06,trial
12,cancel,2024-01-18,trial
13,trial_start,2024-01-23,trial
13,upgrade_paid,2024-02-11,paid_basic
14,trial_start,2024-02-24,trial
14,upgrade_paid,2024-03-04,paid_premium
15,trial_start,2024-01-02,trial
15,cancel,2024-01-06,trial
16,trial_start,2024-03-30,trial
16,cancel,2024-04-12,trial
18,trial_start,2024-02-11,trial
18,upgrade_paid,2024-02-27,paid_basic
19,trial_start,2024-01-04,trial
19,cancel,2024-01-12,trial
20,trial_start,2024-03-07,trial
20,upgrade_paid,2024-03-15,paid_basic
24,trial_start,2024-03-16,trial
24,cancel,2024-03-23,trial
25,trial_start,2024-03-01,trial
25,upgrade_paid,2024-03-18,paid_basic
26,trial_start,2024-01-25,trial
26,cancel,2024-02-03,trial
28,trial_start,2024-02-20,trial
28,upgrade_paid,2024-02-24,paid_basic
29,trial_start,2024-04-03,trial
29,cancel,2024-04-10,trial
30,trial_start,2024-02-28,trial
30,upgrade_paid,2024-03-03,paid_basic
32,trial_start,2024-03-04,trial
32,upgrade_paid,2024-03-11,paid_premium
33,trial_start,2024-03-21,trial
33,upgrade_paid,2024-03-30,paid_basic
34,trial_start,2024-01-15,trial
34,cancel,2024-01-18,trial
35,trial_start,2024-03-06,trial
35,upgrade_paid,2024-03-25,paid_basic
36,trial_start,2024-03-02,trial
36,upgrade_paid,2024-03-20,paid_premium
40,trial_start,2024-02-28,trial
40,upgrade_paid,2024-03-02,paid_basic
42,trial_start,2024-01-05,trial
42,upgrade_paid,2024-01-23,paid_premium
44,trial_start,2024-01-11,trial
44,upgrade_paid,2024-01-15,paid_premium
45,trial_start,2024-01-25,trial
45,upgrade_paid,2024-02-02,paid_basic
49,trial_start,2024-01-04,trial
49,cancel,2024-01-15,trial
50,trial_start,2024-03-31,trial
50,cancel,2024-04-08,trial
51,trial_start,2024-03-01,trial
51,upgrade_paid,2024-03-06,paid_basic
52,trial_start,2024-01-17,trial
52,cancel,2024-01-23,trial
53,trial_start,2024-01-12,trial
53,cancel,2024-01-25,trial
54,trial_start,2024-03-31,trial
54,cancel,2024-04-08,trial
55,trial_start,2024-02-24,trial
55,cancel,2024-03-08,trial
56,trial_start,2024-01-05,trial
56,cancel,2024-01-11,trial
57,trial_start,2024-03-28,trial
57,upgrade_paid,2024-04-09,paid_basic
58,trial_start,2024-03-01,trial
58,cancel,2024-03-09,trial
61,trial_start,2024-01-09,trial
61,cancel,2024-01-15,trial
62,trial_start,2024-02-19,trial
62,upgrade_paid,2024-03-04,paid_basic
63,trial_start,2024-02-07,trial
63,cancel,2024-02-16,trial
64,trial_start,2024-03-21,trial
64,cancel,2024-04-02,trial
65,trial_start,2024-03-21,trial
65,upgrade_paid,2024-04-04,paid_basic
66,trial_start,2024-02-09,trial
66,upgrade_paid,2024-02-23,paid_basic
67,trial_start,2024-02-22,trial
67,cancel,2024-03-06,trial
69,trial_start,2024-01-02,trial
69,upgrade_paid,2024-01-20,paid_premium
72,trial_start,2024-01-04,trial
72,cancel,2024-01-12,trial
73,trial_start,2024-02-24,trial
73,cancel,2024-03-02,trial
74,trial_start,2024-03-04,trial
74,cancel,2024-03-10,trial
76,trial_start,2024-04-02,trial
76,cancel,2024-04-13,trial
77,trial_start,2024-02-14,trial
77,upgrade_paid,2024-02-29,paid_basic
78,trial_start,2024-02-03,trial
78,cancel,2024-02-11,trial
79,trial_start,2024-03-17,trial
79,upgrade_paid,2024-03-31,paid_premium
81,trial_start,2024-01-17,trial
81,cancel,2024-01-21,trial
86,trial_start,2024-03-30,trial
86,upgrade_paid,2024-04-02,paid_basic
89,trial_start,2024-03-29,trial
89,cancel,2024-04-05,trial
90,trial_start,2024-03-22,trial
90,cancel,2024-03-27,trial
93,trial_start,2024-01-27,trial
93,upgrade_paid,2024-02-09,paid_premium
94,trial_start,2024-01-30,trial
94,upgrade_paid,2024-02-18,paid_premium
96,trial_start,2024-03-01,trial
96,upgrade_paid,2024-03-05,paid_basic
97,trial_start,2024-02-14,trial
97,upgrade_paid,2024-02-24,paid_premium
98,trial_start,2024-02-02,trial
98,cancel,2024-02-06,trial
99,trial_start,2024-01-16,trial
99,upgrade_paid,2024-01-23,paid_basic
100,trial_start,2024-02-18,trial
100,cancel,2024-02-27,trial
105,trial_start,2024-03-29,trial
105,cancel,2024-04-06,trial
107,trial_start,2024-01-12,trial
107,cancel,2024-01-25,trial
108,trial_start,2024-03-31,trial
108,cancel,2024-04-13,trial
113,trial_start,2024-02-07,trial
113,upgrade_paid,2024-02-22,paid_premium
114,trial_start,2024-02-08,trial
114,upgrade_paid,2024-02-26,paid_basic
115,trial_start,2024-02-03,trial
115,cancel,2024-02-10,trial
117,trial_start,2024-02-11,trial
117,upgrade_paid,2024-02-29,paid_basic
118,trial_start,2024-01-29,trial
118,upgrade_paid,2024-02-03,paid_premium
119,trial_start,2024-01-10,trial
119,upgrade_paid,2024-01-22,paid_premium
120,trial_start,2024-03-16,trial
120,upgrade_paid,2024-03-23,paid_basic
121,trial_start,2024-03-16,trial
121,cancel,2024-03-29,trial
122,trial_start,2024-01-13,trial
122,cancel,2024-01-24,trial
124,trial_start,2024-02-05,trial
124,upgrade_paid,2024-02-12,paid_basic
126,trial_start,2024-01-25,trial
126,cancel,2024-02-05,trial
129,trial_start,2024-02-07,trial
129,cancel,2024-02-16,trial
131,trial_start,2024-03-28,trial
131,cancel,2024-04-05,trial
132,trial_start,2024-04-03,trial
132,cancel,2024-04-15,trial
135,trial_start,2024-02-18,trial
135,upgrade_paid,2024-03-06,paid_premium
138,trial_start,2024-01-03,trial
138,cancel,2024-01-15,trial
139,trial_start,2024-01-06,trial
139,cancel,2024-01-14,trial
141,trial_start,2024-01-14,trial
141,upgrade_paid,2024-02-02,paid_basic
142,trial_start,2024-01-28,trial
142,upgrade_paid,2024-02-02,paid_basic
143,trial_start,2024-01-12,trial
143,upgrade_paid,2024-01-29,paid_basic
147,trial_start,2024-02-14,trial
147,cancel,2024-02-23,trial
148,trial_start,2024-03-19,trial
148,upgrade_paid,2024-03-26,paid_premium
149,trial_start,2024-02-24,trial
149,upgrade_paid,2024-02-27,paid_basic
150,trial_start,2024-03-06,trial
150,cancel,2024-03-16,trial
151,trial_start,2024-02-22,trial
151,cancel,2024-03-02,trial
152,trial_start,2024-01-08,trial
152,cancel,2024-01-13,trial
154,trial_start,2024-01-16,trial
154,cancel,2024-01-24,trial
156,trial_start,2024-01-30,trial
156,cancel,2024-02-10,trial
157,trial_start,2024-02-05,trial
157,cancel,2024-02-18,trial
162,trial_start,2024-03-29,trial
162,cancel,2024-04-07,trial
163,trial_start,2024-01-28,trial
163,cancel,2024-02-05,trial
164,trial_start,2024-03-10,trial
164,cancel,2024-03-19,trial
165,trial_start,2024-02-11,trial
165,cancel,2024-02-14,trial
167,trial_start,2024-03-02,trial
167,upgrade_paid,2024-03-12,paid_basic
168,trial_start,2024-02-26,trial
168,cancel,2024-03-06,trial
172,trial_start,2024-02-15,trial
172,cancel,2024-02-22,trial
173,trial_start,2024-03-24,trial
173,cancel,2024-03-27,trial
175,trial_start,2024-03-06,trial
175,cancel,2024-03-11,trial
176,trial_start,2024-03-15,trial
176,cancel,2024-03-22,trial
177,trial_start,2024-04-01,trial
177,cancel,2024-04-14,trial
178,trial_start,2024-03-05,trial
178,cancel,2024-03-15,trial
179,trial_start,2024-01-04,trial
179,cancel,2024-01-11,trial
181,trial_start,2024-03-05,trial
181,cancel,2024-03-13,trial
