learner_id,prior_knowledge_level,learning_style,baseline_quiz_score,module_id,topic,difficulty_level,content_type,estimated_time,time_spent,attempts,clicks,engagement_score,quiz_score,mastery_level,retention_score,reward
L001,Low,Textual,58,C004,Atomic Structure,4,Text,1140,1361,3,10,2.19,82,Advanced,82,1
L001,Low,Textual,58,C016,Atomic Structure,3,Quiz,480,699,3,6,2.06,52,Intermediate,61,0
L001,Low,Textual,58,C049,Organic Chemistry,4,Text,600,863,1,12,2.64,88,Advanced,82,1
L001,Low,Textual,58,C032,Organic Chemistry,3,Simulation,840,1227,3,14,2.86,61,Intermediate,57,1
L001,Low,Textual,58,C042,Organic Chemistry,3,Simulation,960,1697,3,5,2.27,50,Intermediate,54,0
L001,Low,Textual,58,C035,Electrochemistry,5,Simulation,780,872,3,2,1.32,3,Beginner,0,0
L001,Low,Textual,58,C030,Equilibrium,2,Text,780,962,1,8,2.03,46,Intermediate,54,0
L001,Low,Textual,58,C015,Equilibrium,1,Simulation,480,321,2,8,1.47,3,Beginner,12,0
L001,Low,Textual,58,C019,Kinetics,2,Simulation,480,511,3,8,1.86,77,Advanced,80,1
L001,Low,Textual,58,C018,Organic Chemistry,5,Text,1200,1517,1,2,1.46,52,Intermediate,50,0
L001,Low,Textual,58,C042,Organic Chemistry,1,Text,1140,498,3,11,1.54,80,Advanced,83,1
L001,Low,Textual,58,C010,Kinetics,3,Text,420,247,1,11,1.69,4,Beginner,5,0
L001,Low,Textual,58,C015,Acids & Bases,2,Video,780,570,3,7,1.43,61,Intermediate,67,1
L001,Low,Textual,58,C013,Thermodynamics,3,Text,960,927,2,11,2.07,34,Beginner,44,0
L001,Low,Textual,58,C016,Equilibrium,3,Simulation,540,388,2,7,1.42,26,Beginner,28,0
L001,Low,Textual,58,C016,Organic Chemistry,2,Text,840,1037,1,3,1.53,62,Intermediate,66,1
L001,Low,Textual,58,C034,Kinetics,1,Simulation,1440,2215,1,7,2.24,14,Beginner,14,0
L001,Low,Textual,58,C030,Equilibrium,5,Simulation,480,563,1,7,1.87,58,Intermediate,50,0
L001,Low,Textual,58,C029,Electrochemistry,4,Quiz,360,201,1,6,1.16,27,Beginner,26,0
L001,Low,Textual,58,C039,Atomic Structure,4,Quiz,1440,1825,2,14,2.67,74,Advanced,78,1
L002,Low,Mixed,52,C017,Organic Chemistry,1,Quiz,1440,857,2,8,1.4,26,Beginner,28,0
L002,Low,Mixed,52,C001,Equilibrium,5,Simulation,300,208,3,10,1.69,43,Intermediate,39,0
L002,Low,Mixed,52,C017,Kinetics,3,Quiz,780,624,2,4,1.2,11,Beginner,15,0
L002,Low,Mixed,52,C034,Equilibrium,2,Text,420,401,1,5,1.45,55,Intermediate,49,0
L002,Low,Mixed,52,C023,Atomic Structure,3,Video,1260,1235,3,5,1.48,95,Advanced,105,1
